"filename", "language", "Rust", "Markdown", "Shell Script", "YAML", "Docker", "JSON", "Python", "TypeScript", "JSON with Comments", "Go", "DTD", "TypeScript JSX", "CSS", "XML", "JavaScript", "HTML", "CSV", "Kotlin", "C++", "Java Properties", "pip requirements", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/nasakim/projects/zeroclaw/.cargo/armv6l-unknown-linux-musleabihf.json", "JSON", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/nasakim/projects/zeroclaw/.coderabbit.yaml", "YAML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 75
"/Users/nasakim/projects/zeroclaw/.envrc", "Shell Script", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/nasakim/projects/zeroclaw/.gemini/style-guide.md", "Markdown", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 90
"/Users/nasakim/projects/zeroclaw/.github/ISSUE_TEMPLATE/bug_report.yml", "YAML", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 149
"/Users/nasakim/projects/zeroclaw/.github/ISSUE_TEMPLATE/config.yml", "YAML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/nasakim/projects/zeroclaw/.github/ISSUE_TEMPLATE/feature_request.yml", "YAML", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 108
"/Users/nasakim/projects/zeroclaw/.github/actionlint.yaml", "YAML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/nasakim/projects/zeroclaw/.github/codeql/codeql-config.yml", "YAML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"/Users/nasakim/projects/zeroclaw/.github/connectivity/probe-contract.json", "JSON", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/nasakim/projects/zeroclaw/.github/connectivity/providers.json", "JSON", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/nasakim/projects/zeroclaw/.github/dependabot.yml", "YAML", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/nasakim/projects/zeroclaw/.github/label-policy.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/nasakim/projects/zeroclaw/.github/labeler.yml", "YAML", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 148
"/Users/nasakim/projects/zeroclaw/.github/pull_request_template.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 117
"/Users/nasakim/projects/zeroclaw/.github/release/canary-policy.json", "JSON", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/nasakim/projects/zeroclaw/.github/release/docs-deploy-policy.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
